Reporting starts,Reporting ends,Campaign name,Campaign delivery,Results,Result indicator,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Impressions,Reach,Ends,Attribution setting,Total messaging contacts,New messaging contacts,Purchases,Cost per purchase (USD)
2/27/2023,3/27/2026,Instagram post: Urth Mama’s lunch idea inside...,inactive,12,actions:onsite_conversion.messaging_conversation_started_7d,0.31,10,Lifetime,3.72,1803,1485,5/8/2025,7-day click or 1-day view,14,5,,
2/27/2023,3/27/2026,Instagram post: Urth Mama’s lunch idea inside...,completed,41,actions:onsite_conversion.messaging_conversation_started_7d,0.12170732,5,Lifetime,4.99,3159,2595,5/8/2025,7-day click or 1-day view,45,40,,
2/27/2023,3/27/2026,Instagram Post,completed,7,actions:onsite_conversion.messaging_conversation_started_7d,0.66142857,5,Lifetime,4.63,1558,1000,5/11/2025,7-day click or 1-day view,11,5,,
2/27/2023,3/27/2026,Instagram Post,inactive,19,actions:onsite_conversion.messaging_conversation_started_7d,0.72105263,15,Lifetime,13.7,3354,2175,5/16/2025,7-day click or 1-day view,23,13,,
2/27/2023,3/27/2026,Instagram Post,completed,12,actions:onsite_conversion.messaging_conversation_started_7d,0.81916667,10,Lifetime,9.83,2413,1747,5/15/2025,7-day click or 1-day view,17,7,,
2/27/2023,3/27/2026,Instagram Post,completed,5,actions:onsite_conversion.messaging_conversation_started_7d,1.96,10,Lifetime,9.8,1945,1400,5/15/2025,7-day click or 1-day view,6,4,,
2/27/2023,3/27/2026,Instagram Post,completed,3,actions:onsite_conversion.messaging_conversation_started_7d,3.23,10,Lifetime,9.69,1760,1198,5/15/2025,7-day click or 1-day view,5,1,,
2/27/2023,3/27/2026,Instagram Post,inactive,,,,5,Lifetime,0.87,266,259,5/18/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram Post,completed,4,actions:onsite_conversion.messaging_conversation_started_7d,1.25,5,Lifetime,5,1619,1380,5/18/2025,7-day click or 1-day view,7,2,,
2/27/2023,3/27/2026,Instagram Post,inactive,,,,5,Lifetime,0.92,206,187,5/18/2025,7-day click or 1-day view,3,,,
2/27/2023,3/27/2026,Instagram Post,completed,1,actions:onsite_conversion.messaging_conversation_started_7d,5,5,Lifetime,5,1217,926,5/18/2025,7-day click or 1-day view,2,1,,
2/27/2023,3/27/2026,Instagram Post,completed,2,actions:onsite_conversion.messaging_conversation_started_7d,2.485,5,Lifetime,4.97,1682,1452,5/20/2025,7-day click or 1-day view,5,2,,
2/27/2023,3/27/2026,Instagram Post,completed,1,actions:onsite_conversion.messaging_conversation_started_7d,4.97,5,Lifetime,4.97,1200,890,5/20/2025,7-day click or 1-day view,1,1,,
2/27/2023,3/27/2026,Instagram post: ‎وإنتو خبروني شو الطريقة اللي...,completed,120,actions:link_click,0.04166667,5,Lifetime,5,2273,2202,5/22/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Are you looking for a roomy lunch...,completed,7,actions:onsite_conversion.messaging_conversation_started_7d,0.7,5,Lifetime,4.9,1472,1205,5/29/2025,7-day click or 1-day view,10,4,,
2/27/2023,3/27/2026,Instagram post: OmieBox BIG SALE Best deal in 8...,completed,6,actions:onsite_conversion.messaging_conversation_started_7d,0.81166667,5,Lifetime,4.87,1233,849,5/30/2025,7-day click or 1-day view,7,4,,
2/27/2023,3/27/2026,"Instagram post: $45
(Was $60) OmieBox",completed,60,actions:link_click,0.082,5,Lifetime,4.92,5697,5238,5/30/2025,7-day click or 1-day view,,,,
2/27/2023,3/27/2026,Instagram post: Are you looking for a roomy lunch...,completed,4,actions:onsite_conversion.messaging_conversation_started_7d,1.1425,5,Lifetime,4.57,1245,1031,5/31/2025,7-day click or 1-day view,7,4,,
2/27/2023,3/27/2026,Instagram post: OmieBox BIG SALE Best deal in 8...,completed,3,actions:onsite_conversion.messaging_conversation_started_7d,1.62333333,5,Lifetime,4.87,1219,904,5/31/2025,7-day click or 1-day view,9,2,,
