product_title,total_revenue,total_units,months_active,cumulative_revenue,revenue_pct,cumulative_pct,product_rank,product_pct,abc_class
Omiebox Thermos Container Replacement part,229.75,21,13,365820.3900000002,0.06212883429892404,98.92489398684562,98,59.756097560975604,C
Totseat Portable Highchair,225.0,7,7,366045.3900000002,0.06084434262136196,98.98573832946698,99,60.36585365853659,C
Baby banana 2 in 1 Teether and Toothbrush,222.0,16,11,366267.3900000002,0.0600330847197438,99.04577141418672,100,60.97560975609756,C
Yumbox Tapas 4C Tray,193.69,12,11,366461.0800000002,0.05237751432147377,99.0981489285082,101,61.58536585365854,C
Haakaa 3rd Gen Silicone Breast Pump,184.68,7,6,366645.7600000002,0.04994103642361389,99.14808996493181,102,62.19512195121951,C
Yumbox Mini Silicone Bento Cup - Set of 6,180.19,17,8,366825.9500000002,0.048726853764192044,99.196816818696,103,62.80487804878049,C
Soft Straws Reusable Silicone Straws,177.51,14,15,367003.4600000002,0.04800213003874649,99.24481894873476,104,63.41463414634146,C
Yumbox Tapas 5C Tray,157.67,7,7,367161.1300000002,0.04263701111604506,99.28745595985079,105,64.02439024390245,C
Yumbox Reusable Sandwich Bag - Set of 2,144.14,6,5,367305.2700000002,0.03897823797974716,99.32643419783055,106,64.63414634146342,C
Kids Raw Multi Baltic Amber Teething Necklace,140.54,7,7,367445.8100000002,0.038004728497805375,99.36443892632835,107,65.2439024390244,C
Avanchy Stainless Steel Suction Baby Bowl + Air Tight Lid,140.54,5,3,367586.35000000015,0.038004728497805375,99.40244365482614,108,65.85365853658537,C
Baby Banana 2 in 1 Toothbrush and Teether no handles,115.0,9,9,367701.35000000015,0.031098219562029444,99.43354187438817,109,66.46341463414635,C
Malachite Mix + Raw Cognac Amber Necklace,108.11,5,5,367809.46000000014,0.02923503058131307,99.46277690496949,110,67.07317073170732,C
Play + Activity Gym,95.0,1,1,367904.46000000014,0.025689833551241714,99.48846673852073,111,67.6829268292683,C
MontiiCo Zip Up Pouch,89.22,7,6,367993.6800000001,0.02412680999412406,99.51259354851484,112,68.29268292682927,C
MontiiCo Mega Bumpers (Original Design),84.62,50,17,368078.3000000001,0.022882881211642885,99.53547642972649,113,68.90243902439023,C
Feast Tray,81.99000000000001,3,1,368160.2900000001,0.022171678451224298,99.55764810817772,114,69.51219512195121,C
MontiiCo Silicone Cutlery Band for Food Jar,81.74,21,7,368242.0300000001,0.02210407362608945,99.5797521818038,115,70.1219512195122,C
BabyComfy Nasal Aspirator,78.5,10,9,368320.5300000001,0.02122791509234184,99.60098009689614,116,70.73170731707317,C
Avanchy La Petite Mini Silicone Baby Cup,75.77000000000001,10,9,368396.3000000001,0.020489670401869317,99.62146976729801,117,71.34146341463415,C
Breast Pump Bra Hands-Free Zip-Up,67.57,3,1,368463.8700000001,0.018272232137446342,99.63974199943546,118,71.95121951219512,C
Swimava Rings,67.57,8,7,368531.4400000001,0.018272232137446342,99.6580142315729,119,72.5609756097561,C
Yumbox Sleeve Lunch Bag,61.260000000000005,6,5,368592.7000000001,0.016565886351042818,99.67458011792395,120,73.17073170731707,C
BabyComfy Deluxe Safety Nail Clipper,60.36,7,7,368653.0600000001,0.016322508980557367,99.6909026269045,121,73.78048780487805,C
Play Mat Bag,60.0,2,2,368713.0600000001,0.01622515803236319,99.70712778493687,122,74.39024390243902,C
Haakaa 2nd Gen Silicone Breast Pump with Suction,54.06,2,2,368767.1200000001,0.014618867387159234,99.72174665232403,123,75.0,C
Kids Raw Honey Baltic Amber Bracelet,54.06,3,3,368821.1800000001,0.014618867387159234,99.73636551971119,124,75.60975609756098,C
No Nasties Hair Chalk,49.45,3,2,368870.6300000001,0.013372234411672661,99.74973775412286,125,76.21951219512195,C
Child’s Apron with bandana,48.669999999999995,7,4,368919.3000000001,0.013161307357251937,99.7628990614801,126,76.82926829268293,C
Raw Dalmatian Jasper + Raw Cherry Amber Kids Necklace,45.04,3,5,368964.3400000001,0.012179685296293968,99.7750787467764,127,77.4390243902439,C
Omiebox Securing Insert,43.24,15,10,369007.5800000001,0.011692930555323071,99.78677167733171,128,78.04878048780488,C
Bee's Wrap Assorted 3 Pack,40.54,5,2,369048.12000000005,0.010962798443866727,99.79773447577558,129,78.65853658536585,C
Eco-Kids All Natural Crayons,40.26,8,5,369088.38000000006,0.0108870810397157,99.8086215568153,130,79.26829268292683,C
Avanchy Bamboo Suction Classic Plate,38.739999999999995,2,2,369127.12000000005,0.010476043702895831,99.81909760051819,131,79.8780487804878,C
Budy Bib 3 in 1 Teether,36.04,5,2,369163.16000000003,0.009745911591439487,99.82884351210963,132,80.48780487804879,C
Kids Raw Rainbow Baltic Amber Bracelet,36.04,2,2,369199.2,0.009745911591439487,99.83858942370107,133,81.09756097560977,C
Kids Raw Multi Baltic Amber Bracelet,36.04,2,2,369235.24,0.009745911591439487,99.84833533529249,134,81.70731707317073,C
Avanchy Silicone Spoons Set of 5,35.13,3,1,369270.37,0.009499830027948648,99.85783516532044,135,82.3170731707317,C
Eco-kids Face Paint,27.14,3,1,369297.51,0.007339179816638949,99.86517434513709,136,82.92682926829268,C
Attipas Shoes,27.03,3,5,369324.54000000004,0.007309433693579617,99.87248377883067,137,83.53658536585365,C
Yumbox Minisnack,27.03,2,1,369351.57000000007,0.007309433693579617,99.87979321252426,138,84.14634146341463,C
Toddler’s Apron,27.03,3,3,369378.6000000001,0.007309433693579617,99.88710264621784,139,84.7560975609756,C
Stone + Snack Board Trio,27.03,1,1,369405.6300000001,0.007309433693579617,99.89441207991143,140,85.36585365853658,C
